Overall Qual,Gr Liv Area,Garage Cars,Total Bsmt SF,Year Built,Full Bath,Year Remod/Add,Fireplaces,Neighborhood,SalePrice
7,1547,2.0,756.0,2009,2,2009,0,Somerst,215200
8,1566,2.0,1566.0,2008,2,2008,0,Somerst,262500
7,1947,2.0,991.0,2004,2,2005,1,Somerst,254900
6,1468,2.0,1468.0,2005,2,2005,1,Somerst,271500
7,2084,2.0,956.0,2004,2,2004,0,SawyerW,233000
7,1659,2.0,831.0,2004,2,2004,0,SawyerW,181000
7,2110,2.0,948.0,1994,2,2002,2,SawyerW,205000
6,923,1.0,923.0,1980,2,1980,1,SawyerW,143000
6,1845,2.0,1055.0,1992,2,1992,1,SawyerW,189000
6,918,1.0,918.0,1979,2,1979,1,SawyerW,99500
6,752,1.0,744.0,1984,1,1984,0,SawyerW,125000
7,1744,2.0,996.0,1993,2,2003,0,SawyerW,194500
6,1097,2.0,1040.0,1984,2,1985,0,SawyerW,152000
6,1564,2.0,650.0,1980,2,1981,1,SawyerW,171000
5,1012,1.0,816.0,1920,1,1950,0,SawyerW,67500
6,1902,2.0,0.0,1978,2,1978,0,Sawyer,112000
5,1155,2.0,1109.0,1961,1,1995,0,Sawyer,148000
5,894,1.0,894.0,1965,1,2009,1,Sawyer,138500
5,900,1.0,882.0,1967,1,1967,0,Sawyer,122000
5,1040,1.0,1040.0,1963,1,1963,0,Sawyer,133000
5,1040,1.0,1040.0,1962,1,2010,0,Sawyer,127000
6,1494,2.0,1208.0,1974,2,2002,2,Sawyer,169000
7,1923,2.0,750.0,1992,2,1992,1,NoRidge,190000
8,2349,3.0,1231.0,1993,2,1993,1,NoRidge,362500
8,2225,3.0,1390.0,1992,2,1993,1,NoRidge,285000
7,1488,2.0,1488.0,2004,2,2005,1,Somerst,260000
7,1680,2.0,840.0,2004,2,2004,0,Somerst,190000
7,1200,2.0,600.0,2004,2,2004,0,Somerst,155000
7,1200,2.0,600.0,2004,2,2005,0,Somerst,151000
7,1200,2.0,600.0,2004,2,2005,0,Somerst,149500
6,1236,2.0,600.0,2005,2,2005,0,Somerst,152000
7,1478,2.0,1470.0,2009,2,2009,1,Somerst,222000
6,1573,2.0,756.0,2000,2,2000,0,Somerst,177500
6,1512,2.0,756.0,2000,2,2000,0,Somerst,177000
7,1416,2.0,696.0,1999,2,1999,0,Somerst,155000
7,1080,2.0,530.0,2003,2,2003,0,Somerst,147110
8,1418,3.0,1642.0,2010,1,2010,1,Somerst,267916
8,1848,2.0,975.0,2000,2,2000,1,Somerst,254000
8,788,2.0,728.0,1980,1,1980,1,Greens,155000
8,1226,2.0,1226.0,1978,1,1978,1,Greens,206000
6,1479,2.0,725.0,1976,2,2005,0,Sawyer,130500
7,1492,2.0,1492.0,2002,2,2002,1,Somerst,230000
6,1829,2.0,1829.0,1967,2,1967,0,NWAmes,218500
6,2495,2.0,1280.0,1993,2,1993,1,NWAmes,243500
6,1610,2.0,1610.0,1977,2,2001,2,NWAmes,205000
6,1891,2.0,1224.0,1978,3,1978,1,NWAmes,212500
7,1714,2.0,980.0,1988,2,1988,1,NWAmes,196500
6,1381,2.0,1161.0,1972,1,2006,1,NWAmes,197500
6,1645,2.0,715.0,1971,1,1971,0,NWAmes,171000
5,1232,2.0,1232.0,1966,1,1966,0,NAmes,142250
6,1328,2.0,1328.0,1963,1,1963,2,NWAmes,143000
4,1225,0.0,950.0,1959,1,1959,0,NAmes,128950
5,1209,2.0,1209.0,1966,1,1966,0,NAmes,159000
5,1510,2.0,1510.0,1967,2,1967,0,NAmes,178900
6,1775,2.0,533.0,1964,2,1964,0,NAmes,136300
5,1152,2.0,1152.0,1964,1,1964,1,NAmes,180500
6,1054,2.0,936.0,1963,1,1963,0,NAmes,137500
5,1728,0.0,1728.0,1962,2,2001,0,NAmes,84900
5,1078,1.0,1078.0,1950,1,1996,0,NAmes,142125
5,2461,2.0,1140.0,1952,2,2002,2,NAmes,197600
6,1556,2.0,782.0,1949,2,1950,1,NAmes,172500
5,858,0.0,858.0,1958,1,2008,0,BrkSide,116500
3,1306,0.0,728.0,1940,1,1966,0,BrkSide,76500
5,1063,1.0,1056.0,1954,1,1954,0,NAmes,128000
6,1520,1.0,1156.0,1955,1,1972,2,NAmes,153000
5,1268,1.0,1268.0,1954,1,1954,1,NAmes,132000
6,1128,1.0,1080.0,1966,1,2008,1,NAmes,178000
5,2274,2.0,1105.0,1960,2,1960,0,NAmes,154300
7,2207,2.0,1947.0,1970,2,1989,1,NAmes,180000
6,1888,2.0,1517.0,1966,2,2002,1,NAmes,190000
5,1604,2.0,1604.0,1958,2,1958,0,NAmes,135000
7,1480,2.0,1480.0,2003,2,2009,0,NAmes,214000
5,1143,1.0,1143.0,1959,1,1959,0,NAmes,136000
5,1700,2.0,1398.0,1959,1,1959,1,NAmes,165500
5,1314,1.0,1314.0,1957,1,1957,0,NAmes,145000
6,1194,1.0,1194.0,1959,1,1959,0,NAmes,148000
5,1188,2.0,1188.0,1959,1,1959,0,NAmes,142000
5,1264,2.0,1268.0,1960,1,1960,2,NAmes,167500
5,1206,1.0,1206.0,1959,1,1959,0,NAmes,108538
6,1580,2.0,1244.0,1959,1,1959,2,NAmes,159500
4,1337,1.0,832.0,1956,1,1956,0,NAmes,108000
5,1064,1.0,864.0,1952,1,1952,0,NAmes,135000
5,972,1.0,972.0,1955,1,1955,0,NAmes,122500
5,988,1.0,988.0,1958,1,1958,0,NAmes,119000
5,1057,1.0,1057.0,1953,1,2007,0,NAmes,109000
4,985,2.0,576.0,1920,1,1994,0,NAmes,105000
5,827,1.0,0.0,1955,1,2007,1,NAmes,107500
5,1086,2.0,1086.0,1954,1,2003,0,NAmes,144900
5,936,1.0,936.0,1956,1,2000,0,NAmes,129000
6,1458,1.0,912.0,1948,1,1950,1,NAmes,97500
6,1056,2.0,1056.0,1980,0,1980,0,OldTown,144000
5,1287,2.0,1063.0,1959,1,2006,1,NAmes,162000
7,2978,2.0,710.0,1967,2,2007,1,NAmes,242000
6,1224,1.0,816.0,1948,1,2004,0,NAmes,132000
5,1246,1.0,1246.0,1959,1,1994,0,NAmes,154000
5,1385,2.0,910.0,1952,2,1952,0,NAmes,166000
5,900,2.0,900.0,1951,1,2000,0,NAmes,134800
6,1116,2.0,1116.0,1962,1,1962,0,NAmes,160000
5,1175,2.0,1175.0,1960,1,1960,0,NAmes,148000
6,1395,2.0,1395.0,1963,1,1984,1,NAmes,192000
6,1839,2.0,756.0,1966,1,1966,1,NAmes,155000
4,1844,1.0,709.0,1900,1,1954,2,OldTown,80400
4,1140,0.0,576.0,1910,1,2004,0,OldTown,96500
5,936,0.0,936.0,1920,1,1950,1,OldTown,109500
5,1028,2.0,1008.0,1927,1,1950,1,OldTown,115000
5,1347,2.0,1347.0,1957,1,1957,0,OldTown,143000
3,1605,1.0,840.0,1915,2,1950,0,OldTown,107400
4,747,1.0,747.0,1945,1,1950,0,OldTown,80000
5,804,1.0,788.0,1940,1,1992,2,OldTown,119000
5,1316,2.0,926.0,1929,1,2001,0,OldTown,130000
6,1251,1.0,827.0,1938,1,2000,0,OldTown,119000
5,1633,1.0,1027.0,1948,1,2009,1,OldTown,129000
5,1245,1.0,1008.0,1920,1,1962,0,OldTown,100000
2,832,2.0,678.0,1923,1,1970,1,OldTown,12789
6,720,2.0,624.0,1928,1,2003,0,OldTown,105900
8,1566,1.0,930.0,1900,2,2003,0,OldTown,150000
5,1652,1.0,686.0,1915,2,1950,0,OldTown,139000
8,2268,2.0,346.0,1890,3,2002,0,OldTown,240000
5,2256,0.0,840.0,1910,2,1950,0,OldTown,76500
6,1236,2.0,912.0,1957,1,1996,0,OldTown,149700
4,1363,2.0,622.0,1910,1,1950,0,OldTown,125500
4,2290,2.0,777.0,1885,2,1950,0,OldTown,122500
6,1470,2.0,738.0,1922,1,1994,0,OldTown,140750
5,1612,1.0,988.0,1950,1,1997,0,BrkSide,128500
7,2068,1.0,1108.0,1922,1,2005,1,BrkSide,209500
4,765,1.0,765.0,1925,1,1950,0,BrkSide,87000
6,1132,1.0,608.0,1939,1,1950,0,BrkSide,134000
6,1196,2.0,572.0,1940,1,1950,2,BrkSide,128000
5,1453,1.0,835.0,1942,1,1950,2,BrkSide,132000
6,1416,1.0,780.0,1948,1,1950,0,BrkSide,139900
5,1040,2.0,528.0,1936,1,1980,0,BrkSide,123900
5,1536,2.0,928.0,1930,2,1950,1,BrkSide,138400
6,1068,1.0,1124.0,1923,1,1950,1,OldTown,109500
7,1710,2.0,576.0,1921,2,1950,0,OldTown,140000
4,1962,2.0,888.0,1915,1,1950,1,OldTown,149500
6,1560,0.0,780.0,1912,1,2009,0,OldTown,159900
6,1324,1.0,662.0,1920,1,1993,0,OldTown,122000
5,816,2.0,816.0,1963,1,1963,0,IDOTRR,110000
4,1092,0.0,0.0,1930,2,1950,0,IDOTRR,55000
5,1812,2.0,360.0,1900,2,1996,1,OldTown,140000
7,2403,1.0,1032.0,1940,2,1950,2,ClearCr,244400
5,1675,1.0,1422.0,1959,2,1959,2,ClearCr,173000
5,1224,1.0,689.0,1917,1,1950,0,ClearCr,107500
5,1392,0.0,1212.0,1915,1,1950,0,SWISU,100000
6,919,1.0,600.0,1940,1,1950,0,SWISU,95000
4,1884,0.0,707.0,1907,1,1950,0,SWISU,93369
5,1680,2.0,856.0,1910,2,1950,1,SWISU,114900
5,1020,0.0,780.0,1875,1,1996,0,Sawyer,94000
4,1832,0.0,1832.0,1967,2,1967,0,Sawyer,136000
4,1768,0.0,1768.0,1968,2,1968,0,Sawyer,136500
5,1039,2.0,1039.0,1965,1,1965,0,Sawyer,131500
5,1392,2.0,1392.0,1957,1,1996,1,Sawyer,121500
5,912,1.0,912.0,1967,1,1967,1,Sawyer,125000
5,1060,1.0,1060.0,1968,1,2001,1,Sawyer,154000
5,892,1.0,864.0,1966,1,2008,0,Sawyer,137900
6,1352,1.0,663.0,1969,1,1969,0,Sawyer,158000
5,864,1.0,864.0,1968,1,1968,0,Sawyer,137250
5,1373,2.0,1319.0,1978,1,1978,2,Sawyer,160250
5,1440,2.0,720.0,1968,1,1968,2,Sawyer,163000
6,1386,2.0,672.0,1978,2,1978,1,Sawyer,158900
7,2260,2.0,1306.0,1996,2,1997,0,ClearCr,328000
7,1483,2.0,1420.0,1977,1,2001,2,ClearCr,270000
4,756,2.0,660.0,1927,1,1950,0,Sawyer,85000
4,1067,2.0,1067.0,1950,2,1995,0,Sawyer,128000
7,1524,2.0,1332.0,1979,0,1979,1,ClearCr,260000
6,1981,2.0,1117.0,1978,2,1992,1,ClearCr,230000
3,1610,1.0,972.0,1938,2,1990,1,Edwards,124000
5,835,1.0,458.0,1920,1,1950,0,Edwards,83000
6,1074,1.0,663.0,1950,1,1987,1,Edwards,144500
5,1144,1.0,1144.0,1956,1,1956,0,Edwards,129000
4,1531,1.0,756.0,1947,1,1979,1,Edwards,127000
5,1172,1.0,1172.0,1954,1,1998,0,Edwards,128000
6,1212,2.0,1212.0,2009,2,2009,0,Edwards,186000
7,1508,2.0,1508.0,2009,1,2010,2,Edwards,308030
5,1298,2.0,1250.0,1964,2,1964,0,Edwards,114000
4,930,1.0,0.0,1946,1,2006,0,Edwards,84900
6,1732,2.0,741.0,1985,2,1985,1,SawyerW,178000
7,1433,2.0,1433.0,1987,1,1987,2,SawyerW,270000
6,1802,4.0,946.0,1993,2,1993,1,SawyerW,218000
7,1949,2.0,1050.0,1993,2,1994,1,SawyerW,236000
6,996,2.0,936.0,1992,1,1992,0,SawyerW,147000
8,1694,3.0,1694.0,2008,2,2008,0,CollgCr,245350
7,1208,2.0,1187.0,2006,2,2006,0,CollgCr,206000
7,1226,3.0,1226.0,2009,2,2009,0,CollgCr,198900
7,1222,2.0,1222.0,2010,2,2010,0,CollgCr,187000
7,3222,3.0,1673.0,1990,3,1990,2,SawyerW,320000
6,1445,2.0,676.0,1900,2,1993,0,SawyerW,138500
6,1052,2.0,1010.0,1971,1,1971,0,ClearCr,155000
5,965,2.0,870.0,1996,1,1996,0,CollgCr,159000
7,1692,2.0,878.0,1997,2,1998,1,CollgCr,191000
6,1682,2.0,804.0,1998,2,1998,0,CollgCr,200500
5,1026,1.0,1026.0,1977,1,2004,0,CollgCr,150000
6,1392,1.0,689.0,1977,1,1977,0,CollgCr,161750
5,894,1.0,894.0,1976,1,1976,0,CollgCr,128200
5,876,2.0,876.0,1972,1,1972,0,CollgCr,127000
8,1978,3.0,1978.0,2003,2,2003,1,CollgCr,318000
8,1601,2.0,1581.0,2001,2,2002,1,CollgCr,272000
7,1829,2.0,941.0,2003,2,2003,1,CollgCr,237000
7,2098,2.0,1040.0,1997,2,1997,1,CollgCr,240000
7,1661,2.0,1649.0,1998,2,1998,0,CollgCr,224900
6,848,2.0,848.0,2003,1,2003,0,CollgCr,143750
6,848,2.0,848.0,2004,1,2004,0,CollgCr,143000
8,1668,2.0,1657.0,2003,2,2003,1,CollgCr,232000
7,1484,2.0,1473.0,2004,2,2005,0,CollgCr,213000
7,1414,2.0,1414.0,2004,2,2004,0,CollgCr,185500
3,640,1.0,0.0,1945,1,2007,0,Edwards,84900
5,992,1.0,381.0,1954,1,1954,0,Edwards,155891
5,1664,0.0,0.0,1965,2,1965,0,Edwards,100000
5,1196,1.0,1196.0,1968,1,1968,0,Edwards,144000
4,1120,2.0,744.0,1948,1,1950,0,Edwards,64000
6,1096,1.0,1008.0,1975,1,1975,1,Edwards,125200
6,1117,2.0,1029.0,1976,1,1976,1,Edwards,107000
4,960,0.0,960.0,1958,1,1958,0,Edwards,90000
4,1121,2.0,1121.0,2003,2,2004,0,Edwards,140000
6,1487,1.0,735.0,1945,1,1950,1,Edwards,113000
4,924,1.0,672.0,1941,1,1950,0,Edwards,80000
5,1526,1.0,1216.0,1957,1,2002,1,Edwards,144500
5,1296,1.0,1107.0,1924,2,1999,1,SWISU,104000
6,1647,1.0,806.0,1915,1,1950,0,SWISU,128000
3,864,1.0,864.0,1914,1,1950,0,Edwards,58500
5,1691,1.0,1026.0,1924,2,1950,1,SWISU,127000
6,856,2.0,856.0,1939,1,1950,1,SWISU,126000
4,2650,0.0,0.0,1967,3,1967,0,SWISU,160000
5,1666,0.0,894.0,1931,1,1950,1,SWISU,100000
6,2447,1.0,804.0,1919,2,1990,1,SWISU,169000
7,2133,1.0,1528.0,1941,1,1985,2,Crawfor,257500
5,2177,2.0,1032.0,1950,2,1991,0,Crawfor,215000
7,2340,1.0,1152.0,1941,2,2006,2,Crawfor,266500
7,1902,2.0,1902.0,1959,2,2002,2,Crawfor,335000
7,1652,2.0,423.0,1994,2,2007,0,Crawfor,203135
8,1034,2.0,982.0,1989,1,1989,1,Blueste,185000
8,1191,2.0,1191.0,1989,2,1989,1,Blueste,162500
7,1801,2.0,1501.0,1959,2,1997,2,Crawfor,289000
4,1154,1.0,796.0,1922,1,2007,0,IDOTRR,125500
2,540,1.0,480.0,1941,1,1950,0,IDOTRR,82000
6,1107,1.0,629.0,1921,1,1975,0,IDOTRR,110000
4,1128,2.0,698.0,1920,1,1950,0,IDOTRR,68400
4,1178,1.0,859.0,1900,1,1950,0,IDOTRR,102776
5,1044,2.0,540.0,1952,1,1952,0,IDOTRR,55993
4,952,1.0,756.0,1896,1,1950,0,IDOTRR,50138
8,1646,2.0,1594.0,2004,2,2005,1,Crawfor,246000
8,1916,3.0,1049.0,1998,2,1999,1,Mitchel,254900
6,1285,2.0,1243.0,1977,2,1977,1,Mitchel,190000
7,1560,2.0,1560.0,2003,2,2003,0,Mitchel,201000
6,1034,3.0,1012.0,1976,1,1976,0,Mitchel,169900
6,2048,2.0,1958.0,1976,3,1976,0,Mitchel,170000
5,1687,2.0,747.0,1948,1,1950,2,Timber,160000
7,1346,3.0,1336.0,2008,2,2008,1,Timber,220000
7,1214,2.0,1214.0,2009,2,2010,0,Timber,179781
5,1444,2.0,384.0,2006,2,2007,0,Timber,174000
8,1968,3.0,774.0,2009,2,2010,1,Timber,269500
7,1894,2.0,817.0,2002,2,2003,1,Timber,214900
8,1908,2.0,967.0,2002,2,2002,0,Timber,202900
9,2018,3.0,2002.0,2008,2,2009,1,Timber,378500
5,1264,2.0,1068.0,1965,1,1977,1,Mitchel,169000
5,1430,2.0,1430.0,2004,2,2005,0,Mitchel,173500
6,1824,0.0,912.0,1971,2,1971,0,Mitchel,139000
5,1344,2.0,1344.0,1999,2,1999,1,Mitchel,166500
4,1092,1.0,546.0,1973,1,1973,0,MeadowV,83500
5,945,1.0,945.0,1973,1,1973,1,MeadowV,119500
5,1112,1.0,536.0,1976,1,1976,0,MeadowV,85000
4,1092,0.0,546.0,1970,1,1970,0,MeadowV,76000
4,630,0.0,630.0,1972,1,1972,0,MeadowV,75500
4,1092,0.0,546.0,1970,1,1970,0,MeadowV,88250
4,1092,1.0,546.0,1972,1,1972,0,MeadowV,85500
5,874,1.0,864.0,1971,1,2004,0,Mitchel,130000
5,1188,1.0,1188.0,1962,1,1962,0,Mitchel,157900
5,833,2.0,833.0,1984,1,1984,0,Mitchel,149900
5,2432,2.0,1216.0,1985,4,1986,0,Mitchel,159000
5,1274,2.0,624.0,1991,1,1991,0,Mitchel,136000
5,1479,1.0,864.0,1969,2,1969,0,Mitchel,161000
8,1803,2.0,1679.0,1994,2,1995,2,Mitchel,285000
6,1797,2.0,1152.0,1993,2,1994,1,Mitchel,231000
6,882,1.0,882.0,1956,1,1956,0,NAmes,124500
6,1434,2.0,1434.0,1974,2,1974,1,NAmes,157000
8,2704,2.0,1952.0,1972,2,1995,3,NAmes,345000
6,1608,2.0,945.0,1997,2,1997,1,Gilbert,189500
8,2283,3.0,1008.0,2003,2,2003,1,Gilbert,270000
7,1628,2.0,384.0,1996,2,1997,1,Gilbert,189000
9,1746,3.0,1746.0,2006,2,2007,2,Gilbert,377500
7,1474,2.0,384.0,1995,2,1996,1,Gilbert,168500
8,2522,2.0,2208.0,2004,2,2005,1,StoneBr,375000
8,1659,2.0,1501.0,2000,2,2000,1,StoneBr,278000
8,1478,2.0,1418.0,1998,2,1998,0,StoneBr,240000
8,1734,2.0,1587.0,1995,2,1996,0,StoneBr,239500
7,1382,2.0,384.0,1998,2,1998,1,Gilbert,177500
7,1718,2.0,832.0,1998,2,1998,1,Gilbert,185000
6,1636,2.0,952.0,1998,2,1999,1,Gilbert,191000
6,1571,2.0,799.0,1993,2,1994,1,Gilbert,178000
6,1470,2.0,680.0,1993,2,1993,1,Gilbert,185000
6,1516,2.0,707.0,1994,2,1995,1,Gilbert,181316
6,1190,2.0,1181.0,1993,2,1993,1,Gilbert,166000
6,1593,2.0,808.0,1992,2,1993,1,Gilbert,178000
6,1481,2.0,702.0,1994,2,1995,1,Gilbert,174000
6,1167,2.0,1158.0,1992,2,1992,0,Gilbert,173000
7,1983,2.0,978.0,1999,2,1999,1,Gilbert,225000
7,1442,2.0,1424.0,1990,2,1990,0,Gilbert,180500
8,1360,2.0,1220.0,1984,1,1984,1,StoneBr,187500
9,2234,3.0,2216.0,2008,2,2009,1,StoneBr,501837
8,2046,3.0,2046.0,2008,2,2008,1,StoneBr,372500
7,1530,2.0,1530.0,2005,2,2005,1,StoneBr,260000
5,1934,2.0,1122.0,1977,2,1977,1,Gilbert,185000
7,2353,2.0,845.0,1980,2,1980,1,NWAmes,260000
6,1586,2.0,1362.0,1979,2,1998,1,NWAmes,181000
7,1411,2.0,1386.0,1977,2,1977,1,NWAmes,82500
6,1602,2.0,1602.0,1977,2,2000,1,NWAmes,215000
7,2050,2.0,832.0,1978,2,1978,1,NWAmes,154000
6,1671,2.0,1427.0,1978,2,1986,1,NWAmes,200000
7,2673,2.0,1043.0,1980,2,1991,1,NWAmes,249000
7,1472,2.0,1372.0,1980,2,1980,2,NWAmes,187500
6,1707,2.0,1140.0,1978,2,1998,1,NWAmes,184000
8,2524,2.0,2524.0,1981,2,1981,1,NWAmes,278000
7,1601,2.0,1271.0,1978,2,1978,1,NWAmes,157000
7,1370,2.0,1090.0,1976,2,1976,1,NWAmes,152000
5,1868,2.0,780.0,1976,2,1976,1,NWAmes,197500
7,1884,2.0,926.0,2003,2,2003,1,Somerst,240900
8,1935,2.0,832.0,2009,2,2009,0,Somerst,263435
8,1874,2.0,1058.0,2000,2,2001,1,Somerst,220000
8,1811,2.0,972.0,2002,2,2002,1,Somerst,235000
5,1621,2.0,1621.0,1975,2,1975,2,NWAmes,213000
6,1116,2.0,1116.0,1974,2,1974,1,NWAmes,167900
7,1193,2.0,1176.0,1975,2,1975,1,NWAmes,158000
6,1350,2.0,1064.0,1974,2,1974,1,NWAmes,165000
6,2119,2.0,689.0,1972,2,1972,1,NWAmes,158000
5,1792,0.0,896.0,1974,2,1974,0,NAmes,136000
5,1002,2.0,1002.0,1970,1,1970,0,NAmes,148500
6,1026,2.0,1026.0,1969,1,2005,0,NAmes,156000
5,1180,2.0,1180.0,1970,1,1970,0,NAmes,128000
5,1050,1.0,1043.0,1971,1,1971,0,NAmes,143000
4,864,2.0,864.0,1970,1,1970,0,NAmes,76500
4,864,2.0,864.0,1970,1,1970,0,NAmes,120500
4,864,2.0,864.0,1970,1,1970,0,NAmes,124500
4,864,2.0,864.0,1971,1,1971,0,NAmes,97000
4,864,2.0,864.0,1971,1,2006,0,NAmes,130000
6,987,1.0,483.0,1973,1,1973,0,BrDale,111000
5,1365,2.0,765.0,1970,1,1970,0,BrDale,125000
5,1302,1.0,630.0,1971,2,1971,0,BrDale,112000
6,987,1.0,483.0,1972,1,1972,0,BrDale,97000
6,987,1.0,483.0,1972,1,2007,0,BrDale,118000
5,1302,1.0,630.0,1972,2,1972,0,BrDale,119500
6,958,2.0,958.0,1976,2,1976,0,NPkVill,143750
6,1548,2.0,804.0,1976,2,1976,1,NPkVill,146000
6,1456,2.0,855.0,1976,2,1976,1,NPkVill,148500
7,1055,2.0,1057.0,1975,2,1975,1,NPkVill,123000
6,1322,2.0,855.0,1974,2,1974,1,NPkVill,147000
6,1456,2.0,855.0,1977,2,1977,1,NPkVill,137900
6,1548,2.0,804.0,1978,2,1978,1,NPkVill,147000
6,1441,2.0,855.0,1978,2,1978,1,NPkVill,148500
6,1456,2.0,855.0,1978,2,1978,1,NPkVill,138000
7,836,1.0,836.0,1976,1,1976,0,NPkVill,128500
5,892,1.0,892.0,1967,1,1967,0,NAmes,100000
5,1120,2.0,864.0,1966,1,2004,1,NAmes,148800
10,1718,3.0,1700.0,2006,2,2007,1,NridgHt,337500
9,2772,3.0,1776.0,2007,3,2007,3,NridgHt,462000
9,3140,3.0,1926.0,2008,3,2009,2,NridgHt,485000
10,2402,3.0,3094.0,2008,2,2008,2,NridgHt,555000
9,1652,2.0,1652.0,2006,2,2007,2,NridgHt,325000
8,1600,3.0,1566.0,2007,2,2007,1,NridgHt,256300
8,2042,3.0,2042.0,2008,2,2009,1,NridgHt,253293
9,2690,3.0,1365.0,2009,2,2009,1,NridgHt,398800
9,2184,3.0,1104.0,2008,2,2008,1,NridgHt,335000
9,2020,3.0,2020.0,2008,2,2008,1,NridgHt,404000
10,2020,3.0,2006.0,2009,2,2009,1,NridgHt,402861
10,2296,3.0,1722.0,2008,2,2008,1,NridgHt,451950
10,2674,3.0,2630.0,2007,2,2007,2,NridgHt,610000
